battles;overallWN8;overallWNX;winrate;dpg;assist;frags;survival;spots;cap;def;xp;kd;map;spawn;target
25217;1145;1043;47,56;1060;178;0,76;31,30;0,84;0,86;0,65;538;1,11;21;1;1
12279;1972;1680;52,69;1245;247;1,14;34,59;1,14;1,43;1,34;660;1,74;21;1;1
25773;2281;2285;55,22;1717;453;1,21;33,89;1,31;1,00;0,75;838;1,83;21;1;1
99248;1347;1296;49,91;1140;336;0,68;20,66;1,30;0,94;0,38;595;0,86;21;2;0
36474;2816;2642;56,09;2064;469;1,38;36,96;1,36;1,04;1,06;816;2,20;21;1;1
23194;1131;1137;48,15;991;323;0,76;32,09;0,70;0,92;0,49;569;1,12;21;1;1
69900;1159;1124;48,70;911;338;0,70;20,86;1,31;0,74;0,42;558;0,88;21;2;0
9094;888;838;46,99;556;187;0,66;24,63;0,81;0,88;0,52;347;0,87;21;1;1
37457;996;958;49,97;586;252;0,66;21,56;1,30;0,75;0,38;377;0,85;21;1;1
34416;360;348;44,34;505;388;0,28;8,55;1,51;0,41;0,10;428;0,30;21;1;1
6239;856;816;45,82;757;232;0,56;25,05;0,59;0,59;0,35;444;0,75;21;2;0
14190;837;818;47,67;850;279;0,59;22,41;0,71;0,47;0,16;422;0,75;21;2;0
8297;898;871;46,99;730;271;0,60;26,94;0,83;0,51;0,36;467;0,82;21;1;1
21431;907;945;48,84;728;286;0,56;32,46;0,53;0,36;0,50;553;0,82;21;2;0
8486;1220;1200;48,02;1026;327;0,76;25,41;0,94;1,78;0,36;559;1,02;21;2;0
6806;1460;1403;50,90;1050;320;0,80;30,28;1,00;0,61;0,63;522;1,14;21;2;0
24155;733;648;47,11;560;213;0,49;21,47;0,89;1,42;0,40;339;0,63;21;2;0
48159;1342;1398;50,30;1110;421;0,74;26,53;1,13;0,84;0,36;611;1,01;21;2;0
76679;1178;1209;49,31;1019;428;0,70;22,43;1,20;1,23;0,34;534;0,90;21;2;0
12296;1203;1237;49,73;1192;455;0,72;25,89;1,13;0,69;0,29;604;0,97;21;2;0
33773;2373;2500;56,41;1927;519;1,03;27,23;1,43;0,50;0,47;789;1,41;21;2;0
73435;1321;1314;49,94;1089;368;0,79;24,17;1,13;0,71;0,43;546;1,04;21;1;1
7335;1362;1365;49,84;1386;320;0,68;25,15;0,92;0,36;0,39;677;0,91;21;1;1
1169;378;332;42,60;381;180;0,37;21,04;0,61;0,81;0,25;390;0,47;21;1;1
6172;1161;1163;48,72;1224;413;0,65;19,82;1,17;0,42;0,19;698;0,81;21;1;1
8058;656;585;45,71;612;291;0,44;11,50;1,10;0,72;0,14;533;0,49;21;2;0
638;810;808;43,10;910;273;0,60;22,88;0,79;0,82;0,19;602;0,77;21;1;1
3371;883;822;45,71;1376;296;0,63;32,45;0,53;0,69;0,12;734;0,93;21;1;1
151;506;337;50,33;724;230;0,34;16,56;0,67;0,70;0,00;586;0,40;21;2;0
278;808;756;50,00;544;144;0,72;26,26;0,56;3,70;0,40;476;0,97;21;2;0
